X;Y;ID;OBJETO;CALLE;ALTURA;DIREC_NORM;DIREC_ARCG;TELEFONO;OBS_TELEFONO;BARRIO;COMUNA
-58.4664980785033;-34.5989119578746;897;FARMACIA;TRELLES;2596;TRELLES, MANUEL R. AV. 2596;2596 TRELLES, MANUEL R. AV.;4584-9300;INT 219;PATERNAL;15
-58.4682449537755;-34.5941931334147;604;FARMACIA;DR. RAFAEL BIELSA (EX MORLOTE);300;BIELSA, RAFAEL, DR. 300;300 BIELSA, RAFAEL, DR.;4553-0884;;PATERNAL;15
-58.4744470215369;-34.5965977331471;990;FARMACIA;AV WARNES;2707;WARNES AV. 2707;2707 WARNES AV.;;;PATERNAL;15
-58.461248692724;-34.6035916901672;1259;FARMACIA;AV SAN MARTIN;2399;SAN MARTIN AV. 2399;2399 SAN MARTIN AV.;4514-7950;4585-5254;PATERNAL;15
-58.4395623922373;-34.5956962732221;29;FARMACIA;GURRUCHAGA;684;GURRUCHAGA 684;684 GURRUCHAGA;4854-9402;;VILLA CRESPO;15
-58.4331376023688;-34.5960412656;35;FARMACIA;AV RAUL SCALABRINI ORTIZ;840;SCALABRINI ORTIZ, RAUL AV. 840;840 SCALABRINI ORTIZ, RAUL AV.;4773-1347;;VILLA CRESPO;15
-58.434830782628;-34.6006735767969;44;FARMACIA;J. RAMIREZ DE VELAZCO;240;RAMIREZ DE VELASCO, JUAN 240;240 RAMIREZ DE VELASCO, JUAN;4856-0837;;VILLA CRESPO;15
-58.4449744920963;-34.6069440125422;123;FARMACIA;AV ANGEL GALLARDO;1071;GALLARDO, ANGEL AV. 1071;1071 GALLARDO, ANGEL AV.;4854-0033;;VILLA CRESPO;15
-58.4431368298588;-34.5997391327949;159;FARMACIA;PADILLA;720;PADILLA 720;720 PADILLA;4857-3973;;VILLA CRESPO;15
-58.441817990533;-34.6041869588628;185;FARMACIA;MAHATMA GANDHI;397;GANDHI, MAHATMA 397;397 GANDHI, MAHATMA;;;VILLA CRESPO;15
-58.4418170789474;-34.5968095552312;228;FARMACIA;AV CORRIENTES;5541;CORRIENTES AV. 5541;5541 CORRIENTES AV.;4855-9367;;VILLA CRESPO;15
-58.4539366108133;-34.6011793056265;243;FARMACIA;AV JUAN B. JUSTO;3485;JUSTO, JUAN B. AV. 3485;3485 JUSTO, JUAN B. AV.;4584-7347;;VILLA CRESPO;15
-58.4450212355497;-34.5938438628299;298;FARMACIA;AV CORRIENTES;5901;CORRIENTES AV. 5901;5901 CORRIENTES AV.;4854-6842;;VILLA CRESPO;15
-58.4362009026116;-34.6008893593334;326;FARMACIA;AV CORRIENTES;5000;CORRIENTES AV. 5000;5000 CORRIENTES AV.;4854-5251;;VILLA CRESPO;15
-58.4304226936506;-34.5997339332345;388;FARMACIA;AV ESTADO DE ISRAEL;4601;ESTADO DE ISRAEL AV. 4601;4601 ESTADO DE ISRAEL AV.;4855-7767;;VILLA CRESPO;15
-58.4374695554335;-34.5973748726971;522;FARMACIA;JUAN RAMIREZ DE VELAZCO;603;RAMIREZ DE VELASCO, JUAN 603;603 RAMIREZ DE VELASCO, JUAN;4774-1994;;VILLA CRESPO;15
-58.4498502500342;-34.6045925679645;534;FARMACIA;GALICIA;601;GALICIA 601;601 GALICIA;4584-9625;;VILLA CRESPO;15
-58.4384108267194;-34.5994388945124;1391;FARMACIA;AV RAUL SCALABRINI ORTIZ;328;SCALABRINI ORTIZ, RAUL AV. 328;328 SCALABRINI ORTIZ, RAUL AV.;4854-7395;;VILLA CRESPO;15
-58.4249760499681;-34.5972097633385;593;FARMACIA;AV CORDOBA;4102;CORDOBA AV. 4102;4102 CORDOBA AV.;4862-9051;;VILLA CRESPO;15
-58.4422472524181;-34.6018085988301;643;FARMACIA;AV RAUL SCALABRINI ORTIZ;14;SCALABRINI ORTIZ, RAUL AV. 14;14 SCALABRINI ORTIZ, RAUL AV.;4854-3069;;VILLA CRESPO;15
-58.4577101665164;-34.6045021131072;826;FARMACIA;AV SAN MARTIN.;2159;SAN MARTIN AV. 2159;2159 SAN MARTIN AV.;4588-1778;;VILLA CRESPO;15
-58.4417748152232;-34.5927755799224;866;FARMACIA;AV JUAN B. JUSTO;2291;JUSTO, JUAN B. AV. 2291;2291 JUSTO, JUAN B. AV.;4855-5263;;VILLA CRESPO;15
-58.44014107789;-34.6056602750628;881;FARMACIA;AV ANGEL GALLARDO;677;GALLARDO, ANGEL AV. 677;677 GALLARDO, ANGEL AV.;;;VILLA CRESPO;15
-58.4396517787533;-34.5993404181869;993;FARMACIA;AV CORRIENTES;5288;CORRIENTES AV. 5288;5288 CORRIENTES AV.;;;VILLA CRESPO;15
-58.444274825605;-34.5945229759416;1023;FARMACIA;AV CORRIENTES;5801;CORRIENTES AV. 5801;5801 CORRIENTES AV.;;;VILLA CRESPO;15
-58.4459868200917;-34.6073096955312;1031;FARMACIA;AV GAONA;1101;GAONA AV. 1101;1101 GAONA AV.;;;VILLA CRESPO;15
-58.4363581509337;-34.5924201083384;1080;FARMACIA;SERRANO;1044;SERRANO 1044;1044 SERRANO;4899-1111;;VILLA CRESPO;15
-58.4385408782501;-34.5984401285355;1087;FARMACIA;MALABIA;487;MALABIA 487;487 MALABIA;4857-5505;;VILLA CRESPO;15
-58.4463345977191;-34.5931429119257;1091;FARMACIA;AV CORRIENTES;6042;CORRIENTES AV. 6042;6042 CORRIENTES AV.;4856-7330;;VILLA CRESPO;15
-58.4439723210618;-34.5953395730263;1150;FARMACIA;AV CORRIENTES;5736;CORRIENTES AV. 5736;5736 CORRIENTES AV.;4854-8811;;VILLA CRESPO;15
-58.4577968723731;-34.6044811995538;1200;FARMACIA;AV SAN MARTIN;2165;SAN MARTIN AV. 2165;2165 SAN MARTIN AV.;4584-8010;;VILLA CRESPO;15
-58.439420641206;-34.5990220603235;1226;FARMACIA;AV CORRIENTES;5283;CORRIENTES AV. 5283;5283 CORRIENTES AV.;4855-7343;;VILLA CRESPO;15
-58.4545997501005;-34.6053097593449;1281;FARMACIA;AV SAN MARTIN;1851;SAN MARTIN AV. 1851;1851 SAN MARTIN AV.;4584-2733;/2758;VILLA CRESPO;15
-58.4368574008189;-34.5988816187831;1285;FARMACIA;AV RAUL SCALABRINI ORTIZ;461;SCALABRINI ORTIZ, RAUL AV. 461;461 SCALABRINI ORTIZ, RAUL AV.;4854-7460;;VILLA CRESPO;15
-58.4383346637845;-34.5968736728867;1299;FARMACIA;J. RAMIREZ DE VELAZCO;692;RAMIREZ DE VELASCO, JUAN 692;692 RAMIREZ DE VELASCO, JUAN;4856-5221;;VILLA CRESPO;15
-58.4539040486498;-34.6011679523153;1327;FARMACIA;AV JUAN B. JUSTO;3483;JUSTO, JUAN B. AV. 3483;3483 JUSTO, JUAN B. AV.;458-4831;;VILLA CRESPO;15
-58.4534885974639;-34.6056375783171;1363;FARMACIA;AV SAN MARTIN;1755;SAN MARTIN AV. 1755;1755 SAN MARTIN AV.;;;VILLA CRESPO;15
-58.452318709186;-34.6058991225658;1380;FARMACIA;AV SAN MARTIN;1631;SAN MARTIN AV. 1631;1631 SAN MARTIN AV.;4654-3802;4658-6810;VILLA CRESPO;15
-58.4478850052761;-34.6048559629604;1454;FARMACIA;HONORIO PUEYRREDON;1400;PUEYRREDON, HONORIO, DR. AV. 1400;1400 PUEYRREDON, HONORIO, DR. AV.;4854-3069;;VILLA CRESPO;15
-58.4465343015566;-34.5960707270547;1475;FARMACIA;AV JUAN B. JUSTO;2787;JUSTO, JUAN B. AV. 2787;2787 JUSTO, JUAN B. AV.;4854-5657;;VILLA CRESPO;15
-58.4338704159601;-34.5993636219343;1516;FARMACIA;JULIAN ALVAREZ;601;ALVAREZ, JULIAN 601;601 ALVAREZ, JULIAN;4857-3733;;VILLA CRESPO;15
-58.4456148866427;-34.5974469202934;1527;FARMACIA;PADILLA;992;PADILLA 992;992 PADILLA;4856-7476;;VILLA CRESPO;15
-58.475430633001;-34.6059650568962;11;FARMACIA;AV ALVAREZ JONTE;2311;ALVAREZ JONTE 2311;2311 ALVAREZ JONTE;4588-2587;;VILLA DEL PARQUE;11
-58.501166057174;-34.6040081487804;45;FARMACIA;TINOGASTA;3702;TINOGASTA 3702;3702 TINOGASTA;4501-5871;;VILLA DEL PARQUE;11
-58.4974553945313;-34.5972578643562;155;FARMACIA;AV BEIRO FRANCISCO;3160;BEIRO, FRANCISCO AV. 3160;3160 BEIRO, FRANCISCO AV.;4502-1300;/2300;VILLA DEL PARQUE;11
-58.4896697232187;-34.60149479502;158;FARMACIA;AV NAZCA;3001;NAZCA AV. 3001;3001 NAZCA AV.;4502-2661;;VILLA DEL PARQUE;11
-58.4901844291346;-34.6093239633273;316;FARMACIA;CAMPANA;2323;CAMPANA 2323;2323 CAMPANA;;;VILLA DEL PARQUE;11
-58.4942364479559;-34.5971713221446;390;FARMACIA;AV SAN MARTIN;5468;SAN MARTIN AV. 5468;5468 SAN MARTIN AV.;4504-9388;/9389;VILLA DEL PARQUE;11
-58.4973765849469;-34.6059643072358;417;FARMACIA;CONCORDIA;2707;CONCORDIA 2707;2707 CONCORDIA;4505-2550;;VILLA DEL PARQUE;11
-58.491416690958;-34.6058387792144;421;FARMACIA;CUENCA;2581;CUENCA 2581;2581 CUENCA;4501-4941;;VILLA DEL PARQUE;11
-58.4927131869402;-34.6032105357026;429;FARMACIA;NOGOYA;3141;NOGOYA 3141;3141 NOGOYA;4502-0600;4501-0400;VILLA DEL PARQUE;11
-58.4877668157461;-34.6042492646573;531;FARMACIA;AV NAZCA;2746;NAZCA AV. 2746;2746 NAZCA AV.;4502-5047;;VILLA DEL PARQUE;11
-58.4772049682219;-34.6069941902993;641;FARMACIA;ALVAREZ JONTE;2475;ALVAREZ JONTE 2475;2475 ALVAREZ JONTE;4581-2966;;VILLA DEL PARQUE;11
-58.4864660985559;-34.6057217279798;743;FARMACIA;AV NAZCA;2602;NAZCA AV. 2602;2602 NAZCA AV.;4501-9111;;VILLA DEL PARQUE;11
-58.4938725421476;-34.6133141810644;938;FARMACIA;AV ALVAREZ JONTE;3721;ALVAREZ JONTE AV. 3721;3721 ALVAREZ JONTE AV.;4639-8445;/46;VILLA DEL PARQUE;11
-58.4833164257857;-34.6087046890065;958;FARMACIA;AV NAZCA;2301;NAZCA AV. 2301;2301 NAZCA AV.;;;VILLA DEL PARQUE;11
-58.494026805281;-34.6027224295511;1005;FARMACIA;CUENCA;2901;CUENCA 2901;2901 CUENCA;;;VILLA DEL PARQUE;11
-58.5029682426189;-34.6006299142003;1039;FARMACIA;AV BEIRO FRANCISCO;3562;BEIRO, FRANCISCO AV. 3562;3562 BEIRO, FRANCISCO AV.;;;VILLA DEL PARQUE;11
-58.4954480862423;-34.6008249954451;1070;FARMACIA;CUENCA;3149;CUENCA 3149;3149 CUENCA;;;VILLA DEL PARQUE;11
-58.4837228330402;-34.6087960763261;1217;FARMACIA;ALVAREZ JONTE;2901;ALVAREZ JONTE AV. 2901;2901 ALVAREZ JONTE AV.;4502-6061;;VILLA DEL PARQUE;11
-58.4973908654296;-34.598897674685;1223;FARMACIA;CUENCA;3384;CUENCA 3384;3384 CUENCA;4503-3225;;VILLA DEL PARQUE;11
-58.4926345156684;-34.6044485653826;1334;FARMACIA;CUENCA;2717;CUENCA 2717;2717 CUENCA;4501-0605;;VILLA DEL PARQUE;11
-58.4922324938877;-34.607609314008;1365;FARMACIA;CAMPANA;2502;CAMPANA 2502;2502 CAMPANA;4504-3441;;VILLA DEL PARQUE;11
-58.5036402927839;-34.6010299816558;1379;FARMACIA;AV BEIRO FRANCISCO;3602;BEIRO, FRANCISCO AV. 3602;3602 BEIRO, FRANCISCO AV.;4505-1010;/2599;VILLA DEL PARQUE;11
-58.4953143946593;-34.6140461708146;1443;FARMACIA;ALVAREZ JONTE;3873;ALVAREZ JONTE AV. 3873;3873 ALVAREZ JONTE AV.;4568-3188;;VILLA DEL PARQUE;11
-58.4946040478298;-34.6020275760201;1138;FARMACIA;CUENCA;3005;CUENCA 3005;3005 CUENCA;4505-2242;/2252;VILLA DEL PARQUE;11
-58.4152453389313;-34.6206913507133;24;FARMACIA;AV INDEPENDENCIA;3501;INDEPENDENCIA AV. 3501;3501 INDEPENDENCIA AV.;4729-2660;4729-2670;ALMAGRO;5
-58.4162678889159;-34.6038734260704;43;FARMACIA;AV CORRIENTES;3650;CORRIENTES AV. 3650;3650 CORRIENTES AV.;4862-6424;;ALMAGRO;5
-58.4148545366559;-34.6045315422879;51;FARMACIA;SANCHEZ DE BUSTAMANTE;462;SANCHEZ DE BUSTAMANTE 462;462 SANCHEZ DE BUSTAMANTE;4862-1594;;ALMAGRO;5
-58.415824613911;-34.6143140863262;66;FARMACIA;MORENO;3489;MORENO 3489;3489 MORENO;4863-3815;;ALMAGRO;5
-58.421105836378;-34.6058646559658;74;FARMACIA;TENIENTE GENERAL JUAN D PERON;3899;PERON, JUAN DOMINGO, TTE. GENERAL 3899;3899 PERON, JUAN DOMINGO, TTE. GENERAL;4866-1040;;ALMAGRO;5
-58.4300208171897;-34.6106905334337;86;FARMACIA;BARTOLOME MITRE;4479;MITRE, BARTOLOME 4479;4479 MITRE, BARTOLOME;4982-9215;;ALMAGRO;5
-58.4213735407535;-34.6083987270999;87;FARMACIA;AV DIAZ VELEZ;3899;DIAZ VELEZ AV. 3899;3899 DIAZ VELEZ AV.;4983-3717;;ALMAGRO;5
-58.4189183776917;-34.6067753927338;135;FARMACIA;TENIENTE GENERAL JUAN D PERON;3732;PERON, JUAN DOMINGO, TTE. GENERAL 3732;3732 PERON, JUAN DOMINGO, TTE. GENERAL;4865-7741;;ALMAGRO;5
-58.4165235586839;-34.6184227959282;152;FARMACIA;AV BOEDO;500;BOEDO AV. 500;500 BOEDO AV.;4931-3326;;ALMAGRO;5
-58.414177805087;-34.6157031484916;221;FARMACIA;AV BELGRANO;3400;BELGRANO AV. 3400;3400 BELGRANO AV.;3966-3376;;ALMAGRO;5
-58.4130560613068;-34.6152961582842;232;FARMACIA;AV BELGRANO;3301;BELGRANO AV. 3301;3301 BELGRANO AV.;4864-2623;;ALMAGRO;5
-58.414800880336;-34.610941610501;244;FARMACIA;AV RIVADAVIA;3426;RIVADAVIA AV. 3426;3426 RIVADAVIA AV.;;;ALMAGRO;5
-58.4140365575914;-34.6052395107598;259;FARMACIA;VALENTIN GOMEZ;3444;GOMEZ, VALENTIN 3444;3444 GOMEZ, VALENTIN;4865-6923;/2856;ALMAGRO;5
-58.4132205951203;-34.620519029308;312;FARMACIA;AV INDEPENDENCIA;3347;INDEPENDENCIA AV. 3347;3347 INDEPENDENCIA AV.;4932-1913;;ALMAGRO;5
-58.4317036828905;-34.60177250699;338;FARMACIA;AV ESTADO DE ISRAEL;4784;ESTADO DE ISRAEL AV. 4784;4784 ESTADO DE ISRAEL AV.;4862-4276;;ALMAGRO;5
-58.4165408455912;-34.6183246987338;462;FARMACIA;AV BOEDO;490;BOEDO AV. 490;490 BOEDO AV.;4932-9543;;ALMAGRO;5
-58.4147428149215;-34.6057432476086;486;FARMACIA;SARMIENTO;3499;SARMIENTO 3499;3499 SARMIENTO;4864-1894;;ALMAGRO;5
-58.4276388955399;-34.6218062676342;495;FARMACIA;AV LA PLATA;586;LA PLATA AV. 586;586 LA PLATA AV.;4983-5151;;ALMAGRO;5
-58.4193828080631;-34.6031513552413;548;FARMACIA;AV CORRIENTES;3895;CORRIENTES AV. 3895;3895 CORRIENTES AV.;4861-6449;;ALMAGRO;5
-58.424697231408;-34.6058430209336;560;FARMACIA;TENIENTE GENERAL JUAN D PERON;4101;PERON, JUAN DOMINGO, TTE. GENERAL 4101;4101 PERON, JUAN DOMINGO, TTE. GENERAL;4116-0500;;ALMAGRO;5
-58.4135438959811;-34.6128443827079;890;FARMACIA;HIPOLITO YRIGOYEN;3312;YRIGOYEN, HIPOLITO AV. 3312;3312 YRIGOYEN, HIPOLITO AV.;4861-9869;;ALMAGRO;5
-58.4202651324123;-34.6159378776459;1409;FARMACIA;AV BELGRANO;3802;BELGRANO 3802;3802 BELGRANO;4981-3632;;ALMAGRO;5
-58.421338133245;-34.6114064250465;569;FARMACIA;AV RIVADAVIA;3913;RIVADAVIA AV. 3913;3913 RIVADAVIA AV.;4981-4333;;ALMAGRO;5
-58.4164640981155;-34.603474763772;591;FARMACIA;AV CORRIENTES;3687;CORRIENTES AV. 3687;3687 CORRIENTES AV.;4866-4018;;ALMAGRO;5
-58.4248147162368;-34.6066220061446;608;FARMACIA;GASCON;450;GASCON 450;450 GASCON;4959-0200;INT 4823;ALMAGRO;5
-58.4261361282335;-34.6135327044976;619;FARMACIA;AV RIVADAVIA;4299;RIVADAVIA AV. 4299;4299 RIVADAVIA AV.;4981-4433;;ALMAGRO;5
-58.4304525422979;-34.60204587337;636;FARMACIA;AV CORRIENTES;4617;CORRIENTES AV. 4617;4617 CORRIENTES AV.;4861-2267;;ALMAGRO;5
-58.4224710063928;-34.6122736080665;648;FARMACIA;AV RIVADAVIA;4002;RIVADAVIA AV. 4002;4002 RIVADAVIA AV.;4981-5204;;ALMAGRO;5
-58.4170842542602;-34.6111089727803;717;FARMACIA;AV RIVADAVIA;3600;RIVADAVIA AV. 3600;3600 RIVADAVIA AV.;4861-3348;;ALMAGRO;5
-58.416093794835;-34.6093083676771;719;FARMACIA;BARTOLOME MITRE;3501;MITRE, BARTOLOME 3501;3501 MITRE, BARTOLOME;4867-0202;4865-3185;ALMAGRO;5
-58.4213952613525;-34.6105642818714;728;FARMACIA;AV MEDRANO;60;MEDRANO AV. 60;60 MEDRANO AV.;;;ALMAGRO;5
-58.416625425775;-34.6093250533596;741;FARMACIA;BARTOLOME MITRE;3545;MITRE, BARTOLOME 3545;3545 MITRE, BARTOLOME;;;ALMAGRO;5
-58.4263638735963;-34.6136045056057;750;FARMACIA;AV RIVADAVIA;4301;RIVADAVIA AV. 4301;4301 RIVADAVIA AV.;4981-2289;;ALMAGRO;5
-58.4302468314557;-34.6013964267125;794;FARMACIA;LAMBARE;1076;LAMBARE 1076;1076 LAMBARE;4863-3891;4861-6874;ALMAGRO;5
-58.4280518254911;-34.6039868773866;807;FARMACIA;SARMIENTO;4449;SARMIENTO 4449;4449 SARMIENTO;4862-5793; 4861-6365 o 4861-0124;ALMAGRO;5
-58.4264421962404;-34.6024442345194;808;FARMACIA;AV CORRIENTES;4371;CORRIENTES AV. 4371;4371 CORRIENTES AV.;4867-5352;;ALMAGRO;5
-58.4209095842699;-34.6043886251814;814;FARMACIA;AV MEDRANO;533;MEDRANO AV. 533;533 MEDRANO AV.;4862-2316;;ALMAGRO;5
-58.4139435985939;-34.6125843547683;834;FARMACIA;HIPOLITO YRIGOYEN;3331;YRIGOYEN, HIPOLITO AV. 3331;3331 YRIGOYEN, HIPOLITO AV.;4862-0363;;ALMAGRO;5
-58.4211327723368;-34.6065895543311;844;FARMACIA;AV MEDRANO;351;MEDRANO AV. 351;351 MEDRANO AV.;4983-3287;;ALMAGRO;5
-58.4287435777599;-34.6163448913442;857;FARMACIA;LA PLATA;96;LA PLATA AV. 96;96 LA PLATA AV.;;;ALMAGRO;5
-58.4219872376554;-34.5979027626553;878;FARMACIA;AV CORDOBA;3902;CORDOBA AV. 3902;3902 CORDOBA AV.;4866-5000;;ALMAGRO;5
-58.4284733292661;-34.6145566423783;982;FARMACIA;AV RIVADAVIA;4451;RIVADAVIA AV. 4451;4451 RIVADAVIA AV.;;;ALMAGRO;5
-58.4200960075593;-34.6110311567017;983;FARMACIA;AV RIVADAVIA;3823;RIVADAVIA AV. 3823;3823 RIVADAVIA AV.;;;ALMAGRO;5
-58.4199754988279;-34.6034542794015;984;FARMACIA;AV CORRIENTES;3920;CORRIENTES AV. 3920;3920 CORRIENTES AV.;;;ALMAGRO;5
-58.4245019829879;-34.6040696590673;1000;FARMACIA;GASCON;632;GASCON 632;632 GASCON;;;ALMAGRO;5
-58.4309804588021;-34.6019919774707;1053;FARMACIA;AV CORRIENTES;4647;CORRIENTES AV. 4647;4647 CORRIENTES AV.;;;ALMAGRO;5
-58.4239660378146;-34.6034343283915;1082;FARMACIA;GASCON;667;GASCON 667;667 GASCON;4862-2968;/20;ALMAGRO;5
-58.4278521616313;-34.6180596159356;1186;FARMACIA;VENEZUELA;4455;REPUBLICA BOLIVARIANA DE VENEZUELA 4455;4455 REPUBLICA BOLIVARIANA DE VENEZUELA;4983-0271;;ALMAGRO;5
-58.4318060032933;-34.6018882691677;1207;FARMACIA;AV ESTADO DE ISRAEL;4790;ESTADO DE ISRAEL AV. 4790;4790 ESTADO DE ISRAEL AV.;4862-4679;4866-0611;ALMAGRO;5
-58.4212056935537;-34.6113506295391;1220;FARMACIA;AV MEDRANO;6;MEDRANO AV. 6;6 MEDRANO AV.;4958-0000;;ALMAGRO;5
-58.4223511299862;-34.6028136847463;1230;FARMACIA;F. ACUÑA DE FIGUEROA;717;ACUÑA DE FIGUEROA, FRANCISCO 717;717 ACUÑA DE FIGUEROA, FRANCISCO;4866-4949;;ALMAGRO;5
-58.4213458454361;-34.6029546402754;1269;FARMACIA;AV CORRIENTES;4025;CORRIENTES AV. 4025;4025 CORRIENTES AV.;4862-2779;;ALMAGRO;5
-58.4232751401903;-34.5979839025878;1278;FARMACIA;LAVALLE;4098;LAVALLE 4098;4098 LAVALLE;4861-2828;;ALMAGRO;5
-58.4302976136689;-34.608907590193;1355;FARMACIA;AV DIAZ VELEZ;4500;DIAZ VELEZ AV. 4500;4500 DIAZ VELEZ AV.;4982-8737;;ALMAGRO;5
-58.4232788315289;-34.612259046663;1378;FARMACIA;AV RIVADAVIA;4065;RIVADAVIA AV. 4065;4065 RIVADAVIA AV.;4981-3787;;ALMAGRO;5
-58.4184039672758;-34.6108426017922;1430;FARMACIA;AV RIVADAVIA;3695;RIVADAVIA AV. 3695;3695 RIVADAVIA AV.;4865-0090;;ALMAGRO;5
-58.4213735407535;-34.6083987270999;1467;FARMACIA;AV DIAZ VELEZ;3897;DIAZ VELEZ AV. 3897;3897 DIAZ VELEZ AV.;4983-5863;;ALMAGRO;5
-58.42568857091;-34.6057897655914;1474;FARMACIA;TENIENTE GENERAL JUAN D PERON;4185;PERON, JUAN DOMINGO, TTE. GENERAL 4185;4185 PERON, JUAN DOMINGO, TTE. GENERAL;4861-3081;;ALMAGRO;5
-58.4239602869091;-34.6030471948874;1498;FARMACIA;AV CORRIENTES;4194;CORRIENTES AV. 4194;4194 CORRIENTES AV.;4865-3213;;ALMAGRO;5
-58.4161874007657;-34.6058022599607;71;FARMACIA;SARMIENTO;3602;SARMIENTO 3602;3602 SARMIENTO;4861-0596;;ALMAGRO;5
-58.4305355993158;-34.6060539784959;505;FARMACIA;TENIENTE GENERAL JUAN D PERON;4500;PERON, JUAN DOMINGO, TTE. GENERAL 4500;4500 PERON, JUAN DOMINGO, TTE. GENERAL;4982-0876;;ALMAGRO;5
-58.4244785436659;-34.6074194826752;876;FARMACIA;POTOSI;4100;POTOSI 4100;4100 POTOSI;4981-6733;4866-5000;ALMAGRO;5
-58.4312376637311;-34.6190991231819;10;FARMACIA;DOBLAS;228;DOBLAS 228;228 DOBLAS;4901-3252;;CABALLITO;6
-58.42816304167;-34.6250530668799;19;FARMACIA;AV PEDRO GOYENA;69;GOYENA, PEDRO AV. 69;69 GOYENA, PEDRO AV.;4922-0207;;CABALLITO;6
-58.4373753854688;-34.6283634769724;37;FARMACIA;AV DIRECTORIO;701;DIRECTORIO AV. 701;701 DIRECTORIO AV.;4922-9948;;CABALLITO;6
-58.4292866325718;-34.6209608802814;47;FARMACIA;FORMOSA;100;FORMOSA 100;100 FORMOSA;4901-2603;;CABALLITO;6
-58.4481086261516;-34.6252699943768;70;FARMACIA;AV JUAN B. ALBERDI;1401;ALBERDI, JUAN BAUTISTA AV. 1401;1401 ALBERDI, JUAN BAUTISTA AV.;4431-3379;;CABALLITO;6
-58.4543054382801;-34.6115658138242;179;FARMACIA;AV GAONA;1851;GAONA AV. 1851;1851 GAONA AV.;4585-6100;;CABALLITO;6
-58.4429792750537;-34.6163843493903;188;FARMACIA;AVELLANEDA;896;AVELLANEDA 896;896 AVELLANEDA;4433-0208;;CABALLITO;6
-58.430758141648;-34.6085603807426;195;FARMACIA;AV DIAZ VELEZ;4509;DIAZ VELEZ AV. 4509;4509 DIAZ VELEZ AV.;4982-9463;;CABALLITO;6
-58.4566234951501;-34.6052141203112;203;FARMACIA;ESPINOSA;1634;ESPINOSA 1634;1634 ESPINOSA;4584-1910;;CABALLITO;6
